country,alpha3code,pop,density,medianage,urbanpop,smokers,lung,gdp2019,healthexp,healthperpop,avgtemp,avghumidity,firstcase
Trinidad and Tobago,TTO,"1,399,488",273.0,36.0,52.0,,14.1,"22,607","2,204",1574.861664,,,3/11/2020
Tunisia,TUN,"11,818,619",76.0,33.0,70.0,,23.54,"38,732",774,65.48988507,18.5,67.6,3/1/2020
Turkey,TUR,"84,339,067",110.0,32.0,76.0,25.95,35.63,"743,708",996,11.80947378,8.7,67.53333333,3/9/2020
US,USA,"331,002,651",36.0,38.0,83.0,17.25,32.01,"21,439,453","9,536",28.80943694,13.75,73.4,1/20/2020
Uganda,UGA,"45,741,007",229.0,16.7,25.7,9.65,22.19,"30,666",139,3.038848707,,,3/20/2020
Ukraine,UKR,"43,733,762",75.0,41.0,69.0,31.7,11.11,"150,401",469,10.72398025,6.433333332999999,74.58333333,3/2/2020
United Arab Emirates,ARE,"9,890,402",118.0,33.0,86.0,,18.37,"405,771","2,426",245.2883108,21.93333333,92.31666667,1/28/2020
United Kingdom,GBR,"67,886,011",281.0,40.0,83.0,19.15,23.66,"2,743,586","4,145",61.05823481,6.433333332999999,74.58333333,1/30/2020
Uruguay,URY,"3,473,730",20.0,36.0,96.0,23.05,33.57,"59,918","1,748",503.205488,28.7,55.98333333,3/12/2020
Uzbekistan,UZB,"33,469,203",79.0,28.0,50.0,13.1,10.42,"60,490",383,11.44335585,13.56666667,52.05,3/14/2020
Venezuela,VEN,"28,435,940",32.0,30.0,80.0,,22.34,"70,140",579,20.36155654,24.78333333,79.51666667,3/12/2020
Vietnam,VNM,"97,338,579",314.0,32.0,38.0,24.2,26.26,"261,637",334,3.431321922,24.16666667,73.75,1/22/2020
Zambia,ZMB,"18,383,955",25.0,18.0,45.0,15.55,20.04,"23,946",203,11.04223765,24.96666667,87.76666667,3/17/2020
Zimbabwe,ZWE,"14,862,924",38.0,18.7,38.4,16.65,22.53,"12,818",182,12.24523519,,,3/19/2020
